"12.11.2015, 17:00 ",Молот-Прикамье , ХК Саров ,4,6,
"12.11.2015, 17:00 ",Спутник , Ариада ,4,3,  ОТ 
"12.11.2015, 19:00 ",СКА-Нева , Зауралье ,2,0,
"12.11.2015, 19:00 ",ТХК , Рубин ,3,1,
"14.11.2015, 14:00 ",Торпедо , ХК Рязань ,2,1,  Б 
"14.11.2015, 14:00 ",Сарыарка , Химик ,2,1,  Б 
"14.11.2015, 15:00 ",Молот-Прикамье , Ариада ,4,0,
"14.11.2015, 15:00 ",Спутник , ХК Саров ,4,1,
"14.11.2015, 17:00 ",СКА-Нева , Рубин ,6,1,
"14.11.2015, 17:00 ",ТХК , Зауралье ,4,1,
"15.11.2015, 15:00 ",Челмет , Торос ,3,1,
"15.11.2015, 15:00 ",Южный Урал , Ижсталь ,2,1,  Б 
"16.11.2015, 14:00 ",Ермак , Химик ,3,4,  Б 
"16.11.2015, 15:00 ",Сокол , ХК Рязань ,4,3,
"16.11.2015, 15:30 ",Торпедо , Буран ,1,5,
"16.11.2015, 16:00 ",Сарыарка , Звезда ,3,2,
"16.11.2015, 19:00 ",Кристалл , Динамо ,3,2,  Б 
"16.11.2015, 19:00 ",Дизель , Звезда-ВДВ ,2,3,  Б 
"17.11.2015, 16:30 ",Челмет , Ижсталь ,3,1,
"17.11.2015, 16:30 ",Южный Урал , Торос ,1,3,
"18.11.2015, 14:00 ",Ермак , ХК Рязань ,3,2,  Б 
"18.11.2015, 15:00 ",Сокол , Химик ,0,1,
"18.11.2015, 15:30 ",Торпедо , Звезда ,4,1,
"18.11.2015, 16:00 ",Сарыарка , Буран ,4,3,  ОТ 
"18.11.2015, 19:00 ",Кристалл , Звезда-ВДВ ,4,1,
"18.11.2015, 19:00 ",Дизель , Динамо ,3,4,
"19.11.2015, 16:30 ",Зауралье , Ижсталь ,6,5,  Б 
"19.11.2015, 16:30 ",Южный Урал , Спутник ,5,2,
"19.11.2015, 16:30 ",Челмет , Молот-Прикамье ,2,1,  Б 
"19.11.2015, 17:00 ",Рубин , Торос ,1,3,
"19.11.2015, 18:30 ",ХК Саров , Барс ,2,1,
"19.11.2015, 18:30 ",Ариада , Нефтяник ,4,5,
"20.11.2015, 14:00 ",Ермак , Буран ,4,0,
"20.11.2015, 15:00 ",Сокол , Звезда ,1,7,
"20.11.2015, 19:00 ",Кристалл , ТХК ,0,2,
"20.11.2015, 19:00 ",Дизель , СКА-Нева ,2,3,  Б 
"21.11.2015, 15:00 ",Зауралье , Торос ,4,1,
"21.11.2015, 15:00 ",Челмет , Спутник ,3,4,  Б 
"21.11.2015, 15:00 ",Рубин , Ижсталь ,2,1,
"21.11.2015, 15:00 ",Южный Урал , Молот-Прикамье ,0,2,
"21.11.2015, 17:00 ",ХК Саров , Нефтяник ,3,4,
"21.11.2015, 17:00 ",Ариада , Барс ,1,3,
"22.11.2015, 12:00 ",Ермак , Звезда ,4,2,
"22.11.2015, 13:00 ",Сокол , Буран ,1,4,
"22.11.2015, 17:00 ",Кристалл , СКА-Нева ,3,4,  Б 
"22.11.2015, 17:00 ",Дизель , ТХК ,1,2,
"23.11.2015, 16:30 ",Зауралье , Спутник ,4,5,  Б 
"23.11.2015, 17:00 ",Рубин , Молот-Прикамье ,0,5,
"24.11.2015, 18:30 ",Химик , Торпедо ,2,1,  Б 
"24.11.2015, 19:00 ",ХК Рязань , Сарыарка ,1,0,
"25.11.2015, 16:30 ",Зауралье , Молот-Прикамье ,2,3,  Б 
"25.11.2015, 17:00 ",Рубин , Спутник ,3,1,
"26.11.2015, 17:00 ",Торос , Челмет ,6,2,
"26.11.2015, 17:30 ",Ижсталь , Южный Урал ,0,2,
"26.11.2015, 18:30 ",Химик , Сарыарка ,2,3,
"26.11.2015, 19:00 ",ХК Рязань , Торпедо ,2,3,
"27.11.2015, 18:30 ",Нефтяник , Ариада ,3,2,
"27.11.2015, 19:00 ",Динамо , Кристалл ,4,3,  Б 
"27.11.2015, 19:00 ",СКА-Нева , ТХК ,1,3,
"27.11.2015, 19:00 ",Барс , ХК Саров ,3,1,
"28.11.2015, 15:00 ",Торос , Южный Урал ,2,3,  Б 
"28.11.2015, 16:00 ",Ижсталь , Челмет ,2,1,  Б 
"28.11.2015, 17:00 ",Звезда , Сарыарка ,0,1,
"28.11.2015, 17:00 ",Буран , Торпедо ,2,0,
"29.11.2015, 17:00 ",Динамо , Дизель ,5,3,
"29.11.2015, 17:00 ",Нефтяник , ХК Саров ,0,2,
"29.11.2015, 17:00 ",Химик , Ермак ,4,3,  Б 
"29.11.2015, 17:00 ",ХК Рязань , Сокол ,2,1,
"29.11.2015, 17:00 ",Барс , Ариада ,2,1,  Б 
"29.11.2015, 19:00 ",СКА-Нева , Кристалл ,5,1,
"30.11.2015, 17:00 ",Молот-Прикамье , Челмет ,5,2,
"30.11.2015, 17:00 ",Спутник , Южный Урал ,5,3,
"30.11.2015, 17:00 ",Торос , Рубин ,6,2,
"30.11.2015, 17:30 ",Ижсталь , Зауралье ,2,1,
"30.11.2015, 19:00 ",Звезда , Торпедо ,3,4,
"30.11.2015, 19:00 ",Буран , Сарыарка ,2,6,
"01.12.2015, 18:30 ",Химик , Сокол ,2,1,  ОТ 
"01.12.2015, 19:00 ",ТХК , Кристалл ,5,2,
"01.12.2015, 19:00 ",СКА-Нева , Дизель ,2,3,
"01.12.2015, 19:00 ",ХК Рязань , Ермак ,2,3,  Б 
"02.12.2015, 17:00 ",Спутник , Челмет ,2,4,
"02.12.2015, 17:00 ",Молот-Прикамье , Южный Урал ,3,2,  ОТ 
"02.12.2015, 17:00 ",Торос , Зауралье ,3,2,  Б 
"02.12.2015, 17:30 ",Ижсталь , Рубин ,4,3,  Б 
"02.12.2015, 18:30 ",Ариада , ХК Саров ,1,2,
"03.12.2015, 19:00 ",Буран , Ермак ,5,3,
"03.12.2015, 19:00 ",Звезда , Сокол ,3,2,  ОТ 
"03.12.2015, 19:00 ",ТХК , Дизель ,3,4,  Б 
"04.12.2015, 17:00 ",Спутник , Зауралье ,3,2,  ОТ 
"04.12.2015, 17:00 ",Молот-Прикамье , Рубин ,3,2,
"05.12.2015, 17:00 ",Буран , Сокол ,0,4,
"05.12.2015, 17:00 ",Звезда , Ермак ,3,1,
"06.12.2015, 14:00 ",Торпедо , Сарыарка ,2,1,
"06.12.2015, 15:00 ",Спутник , Рубин ,3,2,
"06.12.2015, 15:00 ",Молот-Прикамье , Зауралье ,1,4,
