"25.10.2014, 06:00 ",Амурские Тигры , Беркуты Кубани ,2,3,
"25.10.2014, 10:00 ",Сахалинские Акулы , ХК МВД ,3,2,
"25.10.2014, 11:00 ",Стальные Лисы , Реактор ,0,3,
"25.10.2014, 11:00 ",Авто , Омские Ястребы ,0,6,
"25.10.2014, 12:00 ",Белые Медведи , Ладья ,5,2,
"25.10.2014, 13:00 ",Чайка , Ирбис ,4,5,
"25.10.2014, 13:00 ",Юниор , Сибирские Снайперы ,3,4,
"25.10.2014, 13:00 ",СКА-1946 , Динамо-Шинник ,0,3,
"25.10.2014, 13:00 ",Русские Витязи , МХК Химик ,4,3,
"25.10.2014, 14:00 ",Олимпия , Челны ,6,1,
"25.10.2014, 14:00 ",Алмаз , Динамо СПб ,3,2,  Б 
"25.10.2014, 14:00 ",Локо , ХК Рига ,3,2,  ОТ 
"25.10.2014, 14:00 ",МХК Спартак , Красная Армия ,3,6,
"25.10.2014, 17:00 ",СКА-Серебряные Львы , Юность ,3,0,
"25.10.2014, 17:00 ",Капитан , Атланты ,4,3,
"26.10.2014, 11:00 ",Стальные Лисы , Реактор ,3,2,  Б 
"26.10.2014, 12:00 ",Белые Медведи , Ладья ,2,4,
"26.10.2014, 13:00 ",Чайка , Ирбис ,2,1,  Б 
"26.10.2014, 14:00 ",Олимпия , Челны ,4,3,  Б 
"26.10.2014, 14:00 ",МХК Спартак , Красная Армия ,3,4,  ОТ 
"26.10.2014, 14:30 ",Мамонты Югры , Тюменский Легион ,3,5,
"26.10.2014, 15:00 ",Белые Тигры , Толпар ,4,5,  ОТ 
"26.10.2014, 15:00 ",Ред Булл , Энергия ,1,7,
"27.10.2014, 12:00 ",Амурские Тигры , ХК МВД ,0,2,
"27.10.2014, 17:00 ",Белые Тигры , Толпар ,3,4,  Б 
"27.10.2014, 17:00 ",Мамонты Югры , Тюменский Легион ,4,2,
"27.10.2014, 18:30 ",Алмаз , ХК Рига ,1,2,
"27.10.2014, 20:00 ",Ред Булл , Энергия ,4,5,
"28.10.2014, 12:00 ",Амурские Тигры , ХК МВД ,1,7,
"28.10.2014, 12:30 ",Сахалинские Акулы , Беркуты Кубани ,2,3,  ОТ 
"28.10.2014, 15:00 ",Авто , Сибирские Снайперы ,3,6,
"28.10.2014, 16:30 ",Юниор , Омские Ястребы ,3,0,
"28.10.2014, 17:00 ",Русские Витязи , Атланты ,6,9,
"28.10.2014, 18:00 ",Локо , Динамо СПб ,2,3,
"28.10.2014, 18:30 ",Динамо-Шинник , Юность ,4,2,
"28.10.2014, 19:00 ",Капитан , МХК Химик ,10,3,
"29.10.2014, 12:30 ",Сахалинские Акулы , Беркуты Кубани ,5,2,
"29.10.2014, 15:00 ",Стальные Лисы , Ладья ,8,2,
"29.10.2014, 16:00 ",Русские Витязи , Атланты ,3,2,  Б 
