"12.10.2015, 19:30 ",Динамо Р , Металлург Мг ,1,2,
"13.10.2015, 18:00 ",Лада , Медвешчак ,5,2,
"13.10.2015, 19:00 ",Ак Барс , Слован ,0,1,
"13.10.2015, 19:00 ",Торпедо , Динамо Мн ,2,1,
"13.10.2015, 19:30 ",Витязь , Югра ,1,0,
"13.10.2015, 19:30 ",Динамо М , Автомобилист ,3,2,  ОТ 
"14.10.2015, 16:00 ",Авангард , Адмирал ,6,5,  Б 
"14.10.2015, 16:30 ",Барыс , Амур ,2,3,
"14.10.2015, 19:00 ",Йокерит , Металлург Мг ,4,2,
"14.10.2015, 19:00 ",Локомотив , Трактор ,3,0,
"14.10.2015, 19:30 ",Спартак , СКА ,1,3,
"14.10.2015, 19:30 ",ХК Сочи , Нефтехимик ,2,1,  Б 
"14.10.2015, 19:30 ",Динамо Р , Салават Юлаев ,3,5,
"15.10.2015, 15:00 ",Металлург Нк , ЦСКА ,0,1,
"15.10.2015, 16:30 ",Сибирь , Северсталь ,3,2,
"15.10.2015, 19:30 ",Витязь , Автомобилист ,1,2,  Б 
"15.10.2015, 19:30 ",Динамо М , Югра ,2,0,
"16.10.2015, 17:00 ",Металлург Мг , Салават Юлаев ,4,6,
"16.10.2015, 19:00 ",Локомотив , Нефтехимик ,4,2,
"16.10.2015, 19:30 ",СКА , Ак Барс ,1,3,
"16.10.2015, 19:30 ",ХК Сочи , Трактор ,2,3,  Б 
"17.10.2015, 10:00 ",Амур , ЦСКА ,3,2,
"17.10.2015, 10:00 ",Адмирал , Северсталь ,1,4,
"17.10.2015, 13:00 ",Металлург Нк , Торпедо ,3,4,  ОТ 
"17.10.2015, 14:30 ",Сибирь , Динамо Мн ,2,3,  ОТ 
"17.10.2015, 17:00 ",Витязь , Барыс ,4,3,  Б 
"17.10.2015, 17:00 ",Динамо М , Авангард ,2,1,  ОТ 
"17.10.2015, 18:00 ",Слован , Югра ,6,0,
"17.10.2015, 18:30 ",Медвешчак , Автомобилист ,2,3,  ОТ 
"18.10.2015, 14:30 ",Металлург Мг , Трактор ,4,3,  ОТ 
"18.10.2015, 17:00 ",Локомотив , Йокерит ,3,1,
"18.10.2015, 17:00 ",СКА , Лада ,2,1,
"18.10.2015, 17:00 ",Спартак , Ак Барс ,3,2,
"19.10.2015, 12:30 ",Амур , Северсталь ,2,3,
"19.10.2015, 12:30 ",Адмирал , ЦСКА ,0,2,
"19.10.2015, 15:00 ",Металлург Нк , Динамо Мн ,3,4,  Б 
"19.10.2015, 16:30 ",Сибирь , Торпедо ,4,1,
"19.10.2015, 19:30 ",Витязь , Авангард ,3,1,
"19.10.2015, 19:30 ",Динамо М , Барыс ,1,2,
"19.10.2015, 20:00 ",Слован , Автомобилист ,4,3,  Б 
"19.10.2015, 20:30 ",Медвешчак , Югра ,6,7,  Б 
"20.10.2015, 17:00 ",Салават Юлаев , Ак Барс ,2,1,
"20.10.2015, 19:00 ",Нефтехимик , Лада ,1,2,  Б 
"20.10.2015, 19:00 ",Локомотив , Динамо Р ,3,1,
"20.10.2015, 19:30 ",ХК Сочи , Йокерит ,3,0,
"21.10.2015, 12:30 ",Амур , Динамо Мн ,4,2,
"21.10.2015, 12:30 ",Адмирал , Торпедо ,3,8,
"21.10.2015, 15:00 ",Металлург Нк , Северсталь ,4,5,  ОТ 
"21.10.2015, 16:30 ",Сибирь , ЦСКА ,0,1,  Б 
"21.10.2015, 20:00 ",Слован , Барыс ,5,3,
"21.10.2015, 20:30 ",Медвешчак , Авангард ,0,1,
"22.10.2015, 17:00 ",Автомобилист , СКА ,4,2,
"22.10.2015, 17:00 ",Металлург Мг , Йокерит ,2,3,
"22.10.2015, 17:00 ",Салават Юлаев , Динамо Р ,3,1,
"22.10.2015, 17:00 ",Югра , Спартак ,2,5,
"23.10.2015, 12:30 ",Амур , Торпедо ,1,3,
"23.10.2015, 12:30 ",Адмирал , Динамо Мн ,5,2,
"23.10.2015, 18:00 ",Лада , Нефтехимик ,3,2,
"23.10.2015, 19:00 ",Ак Барс , Трактор ,5,1,
"23.10.2015, 19:30 ",Витязь , ХК Сочи ,3,1,
"23.10.2015, 19:30 ",Динамо М , Локомотив ,2,4,
"23.10.2015, 20:00 ",Слован , Авангард ,0,3,
"23.10.2015, 20:30 ",Медвешчак , Барыс ,3,0,
"24.10.2015, 14:30 ",Металлург Мг , Динамо Р ,1,3,
"24.10.2015, 14:30 ",Салават Юлаев , Йокерит ,4,0,
"24.10.2015, 14:30 ",Югра , СКА ,2,4,
"24.10.2015, 14:30 ",Автомобилист , Спартак ,2,3,  ОТ 
"25.10.2015, 16:00 ",Лада , Трактор ,4,2,
"25.10.2015, 17:00 ",Ак Барс , Нефтехимик ,2,1,  Б 
"25.10.2015, 17:00 ",Витязь , Локомотив ,2,3,
"25.10.2015, 17:00 ",Динамо М , ХК Сочи ,2,4,
"26.10.2015, 15:00 ",Металлург Нк , Сибирь ,1,2,
"26.10.2015, 16:00 ",Авангард , СКА ,1,4,
"26.10.2015, 16:30 ",Барыс , Спартак ,4,3,  ОТ 
"26.10.2015, 17:00 ",Металлург Мг , Амур ,3,0,
"26.10.2015, 17:00 ",Салават Юлаев , Адмирал ,5,6,
"26.10.2015, 19:30 ",Динамо Мн , Слован ,3,4,  Б 
"26.10.2015, 19:30 ",ЦСКА , Северсталь ,7,1,
"27.10.2015, 17:00 ",Трактор , Локомотив ,2,1,
"27.10.2015, 19:00 ",Нефтехимик , ХК Сочи ,2,1,  Б 
"27.10.2015, 19:30 ",Йокерит , Автомобилист ,4,1,
"27.10.2015, 20:30 ",Динамо Р , Югра ,7,1,
"28.10.2015, 15:00 ",Металлург Нк , Амур ,2,3,  Б 
"28.10.2015, 16:00 ",Авангард , Спартак ,2,3,  ОТ 
"28.10.2015, 16:30 ",Барыс , СКА ,4,2,
"28.10.2015, 16:30 ",Сибирь , Адмирал ,2,0,
"28.10.2015, 19:00 ",Торпедо , Салават Юлаев ,2,3,  ОТ 
"28.10.2015, 19:30 ",Северсталь , Витязь ,2,3,
"28.10.2015, 19:30 ",Динамо Мн , Металлург Мг ,6,4,
"28.10.2015, 19:30 ",ЦСКА , Динамо М ,3,2,
"28.10.2015, 21:00 ",Слован , Лада ,2,5,
"28.10.2015, 21:30 ",Медвешчак , Ак Барс ,3,4,
"29.10.2015, 17:00 ",Трактор , ХК Сочи ,5,3,
"29.10.2015, 19:00 ",Нефтехимик , Локомотив ,4,3,
"29.10.2015, 19:30 ",Йокерит , Югра ,6,1,
"29.10.2015, 20:30 ",Динамо Р , Автомобилист ,5,4,  ОТ 
"30.10.2015, 15:00 ",Металлург Нк , Адмирал ,3,4,  Б 
"30.10.2015, 16:30 ",Сибирь , Амур ,2,1,
"30.10.2015, 19:00 ",Торпедо , Металлург Мг ,2,4,
"30.10.2015, 19:30 ",Северсталь , Динамо М ,4,2,
"30.10.2015, 19:30 ",Динамо Мн , Салават Юлаев ,1,5,
"30.10.2015, 20:30 ",Медвешчак , Лада ,1,4,
